,충전소이름,전체충전기,충전소주소url
0,마곡엠벨리14단지,전체 충전기 : 40대,https://www.chargekorea.com/charge/detail.php?uid=50221
1,마곡엠밸리9단지 (서울에너지공사),전체 충전기 : 35대,https://www.chargekorea.com/charge/detail.php?uid=46692
2,한화꿈에그린아파트,전체 충전기 : 30대,https://www.chargekorea.com/charge/detail.php?uid=48199
3,마곡엠벨리 8단지,전체 충전기 : 26대,https://www.chargekorea.com/charge/detail.php?uid=49515
4,염창동동아아파트 입주자대표회의(콘센트),전체 충전기 : 16대,https://www.chargekorea.com/charge/detail.php?uid=45219
5,마곡엠밸리7단지아파트입주자대표회의,전체 충전기 : 12대,https://www.chargekorea.com/charge/detail.php?uid=45093
6,영광빌딩 (국민건강보험공단 강서지사) (서울에너지공사),전체 충전기 : 12대,https://www.chargekorea.com/charge/detail.php?uid=34984
7,마곡9단지,전체 충전기 : 12대,https://www.chargekorea.com/charge/detail.php?uid=31694
8,강서힐스테이트아파트,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=33316
9,서울강서 등촌아이파크,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=4914
10,마곡나루보타닉푸르지오시티관리단,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=33646
11,이대서울병원,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=8311
12,서울시 강서구 염창동아3차아파트,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=39036
13,서울시 강서구 한화꿈에그린아파트,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=39044
14,우장산롯데캐슬 입주자대표회의,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=34501
15,마곡엠밸리14단지,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=33234
16,LG사이언스파크 화학 E5,전체 충전기 : 10대,https://www.chargekorea.com/charge/detail.php?uid=40157
17,NC백화점-강서,전체 충전기 : 9대,https://www.chargekorea.com/charge/detail.php?uid=3099
18,케이티가양빌딩,전체 충전기 : 9대,https://www.chargekorea.com/charge/detail.php?uid=31713
19,등촌대림아파트,전체 충전기 : 8대,https://www.chargekorea.com/charge/detail.php?uid=44292
20,강서한강자이아파트,전체 충전기 : 8대,https://www.chargekorea.com/charge/detail.php?uid=2643
21,서울시 강서구 열린M타워,전체 충전기 : 8대,https://www.chargekorea.com/charge/detail.php?uid=11492
22,마곡퀸즈파크나인,전체 충전기 : 7대,https://www.chargekorea.com/charge/detail.php?uid=46091
23,힐스테이트에코마곡역_01,전체 충전기 : 7대,https://www.chargekorea.com/charge/detail.php?uid=36950
24,마곡수명산파크6단지아파트공동주택대표회의,전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=33853
25,서울시 강서구 염창동신동아아파트,전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=39004
26,넥센타이어㈜,전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=2421
27,LG사이언스파크 화학 E12,전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=40154
28,LG사이언스파크 유플러스 E11,전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=40155
29,케이티강서빌딩,전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=31712
30,서울시 강서구 마곡747타워,전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=11490
31,홈플러스 강서점(본사),전체 충전기 : 6대,https://www.chargekorea.com/charge/detail.php?uid=29167
32,서울시 강서구 안강프라이빗타워,전체 충전기 : 5대,https://www.chargekorea.com/charge/detail.php?uid=28679
33,유림노르웨이숲아파트 입주자대표회의,전체 충전기 : 5대,https://www.chargekorea.com/charge/detail.php?uid=47887
34,서울시 강서구 마곡럭스나인오피스텔엘동,전체 충전기 : 5대,https://www.chargekorea.com/charge/detail.php?uid=48180
35,대방산업개발,전체 충전기 : 5대,https://www.chargekorea.com/charge/detail.php?uid=45879
